BRU,Brussels Airport,Brussels,Belgium
OST,Ostend-Bruges International Airport,Ostend,Belgium
ANR,Antwerp International Airport,Antwerp,Belgium
LGG,Liege Airport,Liege,Belgium
CRL,Brussels South Charleroi Airport,Charleroi,Belgium
CFU,Ioannis Kapodistrias International Airport,Kerkyra,Greece
HER,Nikos Kazantzakis International Airport,Heraklion,Greece
RHO,Diagoras International Airport,Rhodes,Greece
BDS,Casale Airport,Brindisi,Italy
NAP,Naples International Airport,Naples,Italy
PMO,Falcone-Borsellino Airport,Palermo,Italy
FAO,Faro Airport,Faro,Portugal
ALC,Alicante International Airport,Alicante,Spain
IBZ,Ibiza Airport,Ibiza,Spain
AGP,Malaga Airport,Malaga,Spain
PMI,Palma de Mallorca Airport,Palma de Mallorca,Spain
TFS,Tenerife South Airport,Tenerife,Spain
