scrapeDate,flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierName,duration_formatted,price,originalPrice,hasDiscount,hasPromoDiscount,discountAmount,fareType,availableSeats
2023-03-16,FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-01T08:10:00.000,2023-04-01T12:35:00.000,Ryanair,03:25,358.81,358.81,False,False,0.0,ADT,-1
2023-03-16,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-01T07:45:00.000,2023-04-01T10:00:00.000,Ryanair,02:15,108.84,108.84,False,False,0.0,ADT,4
2023-03-16,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-01T21:30:00.000,2023-04-01T23:59:00.000,Malta Air,02:29,126.29,126.29,False,False,0.0,ADT,-1
2023-03-16,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-01T11:05:00.000,2023-04-01T13:00:00.000,Ryanair,02:55,234.79,234.79,False,False,0.0,ADT,-1
2023-03-16,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-01T15:50:00.000,2023-04-01T18:15:00.000,Ryanair,02:25,196.99,214.99,True,False,18.0,ADT,1
2023-03-16,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-01T13:35:00.000,2023-04-01T16:20:00.000,Ryanair,02:45,139.99,139.99,False,False,0.0,ADT,-1
2023-03-16,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-01T17:20:00.000,2023-04-01T19:30:00.000,Ryanair,02:10,131.49,131.49,False,False,0.0,ADT,3
2023-03-16,FR 2923,BRU,Brussels,AGP,Malaga,2023-04-02T09:55:00.000,2023-04-02T12:50:00.000,Ryanair,02:55,127.99,127.99,False,False,0.0,ADT,4
2023-03-16,FR 6251,CRL,Brussels (Charleroi),CFU,Corfu,2023-04-02T17:00:00.000,2023-04-02T20:40:00.000,Ryanair,02:40,90.99,90.99,False,False,0.0,ADT,-1
2023-03-16,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-02T17:30:00.000,2023-04-02T19:55:00.000,Ryanair,02:25,63.94,70.99,True,False,7.05,ADT,1
2023-03-16,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-02T09:45:00.000,2023-04-02T12:00:00.000,Malta Air,02:15,170.06,170.06,False,False,0.0,ADT,-1
2023-03-16,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-02T16:45:00.000,2023-04-02T18:40:00.000,Ryanair,02:55,134.64,134.64,False,False,0.0,ADT,4
2023-03-16,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-02T09:55:00.000,2023-04-02T12:20:00.000,Ryanair,02:25,185.99,185.99,False,False,0.0,ADT,4
2023-03-16,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-02T07:30:00.000,2023-04-02T09:55:00.000,Ryanair,02:25,128.36,128.36,False,False,0.0,ADT,2
2023-03-16,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-02T21:30:00.000,2023-04-03T00:15:00.000,Ryanair,02:45,134.64,134.64,False,False,0.0,ADT,4
2023-03-16,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-02T12:35:00.000,2023-04-02T16:10:00.000,Ryanair,04:35,162.99,162.99,False,False,0.0,ADT,-1
2023-03-16,FR 2923,BRU,Brussels,AGP,Malaga,2023-04-03T17:40:00.000,2023-04-03T20:30:00.000,Ryanair,02:50,152.8,152.8,False,False,0.0,ADT,-1
