scrapeDate,flightKey,flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,departureTime,arrivalDate,arrivalTime,carrierCode,carrierName,duration_formatted,price,originalPrice,hasDiscount,hasPromoDiscount,discountAmount,fareType,availableSeats
2023-03-29,FR 7986_2023-04-01,FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-01,08:10:00,2023-04-01,12:35:00,FR,Ryanair,03:25,220.09,220.09,False,False,0.0,ADT,3
2023-03-29,FR 6269_2023-04-01,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-01,21:30:00,2023-04-01,23:59:00,FR,Malta Air,02:29,111.5,111.5,False,False,0.0,ADT,1
2023-03-29,FR 1916_2023-04-01,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-01,13:35:00,2023-04-01,16:20:00,FR,Ryanair,02:45,294.22,294.22,False,False,0.0,ADT,1
2023-03-29,FR 7831_2023-04-01,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-01,17:20:00,2023-04-01,19:30:00,FR,Ryanair,02:10,202.49,202.49,False,False,0.0,ADT,2
2023-03-29,FR 2923_2023-04-02,FR 2923,BRU,Brussels,AGP,Malaga,2023-04-02,09:55:00,2023-04-02,12:50:00,FR,Ryanair,02:55,283.55,283.55,False,False,0.0,ADT,4
2023-03-29,FR 6251_2023-04-02,FR 6251,CRL,Brussels (Charleroi),CFU,Corfu,2023-04-02,17:00:00,2023-04-02,20:40:00,FR,Ryanair,02:40,116.79,116.79,False,False,0.0,ADT,1
2023-03-29,FR 7737_2023-04-02,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-02,17:30:00,2023-04-02,19:55:00,FR,Ryanair,02:25,79.75,79.75,False,False,0.0,ADT,2
2023-03-29,FR 1302_2023-04-02,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-02,09:45:00,2023-04-02,12:00:00,FR,Malta Air,02:15,150.01,150.01,False,False,0.0,ADT,1
2023-03-29,FR 3534_2023-04-02,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-02,09:55:00,2023-04-02,12:20:00,FR,Ryanair,02:25,224.99,224.99,False,False,0.0,ADT,2
2023-03-29,FR 6456_2023-04-02,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-02,07:30:00,2023-04-02,09:55:00,FR,Ryanair,02:25,187.7,187.7,False,False,0.0,ADT,1
2023-03-29,FR 563_2023-04-02,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-02,12:35:00,2023-04-02,16:10:00,FR,Ryanair,04:35,256.39,256.39,False,False,0.0,ADT,2
2023-03-29,FR 2923_2023-04-03,FR 2923,BRU,Brussels,AGP,Malaga,2023-04-03,17:40:00,2023-04-03,20:30:00,FR,Ryanair,02:50,246.95,246.95,False,False,0.0,ADT,4
2023-03-29,FR 2915_2023-04-03,FR 2915,BRU,Brussels,PMI,Mallorca,2023-04-03,20:25:00,2023-04-03,22:40:00,FR,Ryanair,02:15,153.92,153.92,False,False,0.0,ADT,5
2023-03-29,FR 8577_2023-04-03,FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-03,12:00:00,2023-04-03,16:35:00,FR,Ryanair,03:35,131.28,131.28,False,False,0.0,ADT,3
2023-03-29,FR 7737_2023-04-03,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-03,20:55:00,2023-04-03,23:20:00,FR,Malta Air,02:25,52.56,52.56,False,False,0.0,ADT,3
2023-03-29,FR 1302_2023-04-03,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-03,06:30:00,2023-04-03,08:45:00,FR,Ryanair,02:15,96.41,96.41,False,False,0.0,ADT,4
2023-03-29,FR 1310_2023-04-03,FR 1310,CRL,Brussels (Charleroi),NAP,Naples,2023-04-03,09:30:00,2023-04-03,11:45:00,FR,Malta Air,02:15,110.73,110.73,False,False,0.0,ADT,-1
2023-03-29,FR 6269_2023-04-03,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-03,12:05:00,2023-04-03,14:35:00,FR,Ryanair,02:30,125.75,133.99,True,False,8.24,ADT,1
2023-03-29,FR 2941_2023-04-03,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-03,18:00:00,2023-04-03,19:55:00,FR,Ryanair,02:55,206.49,206.49,False,False,0.0,ADT,1
2023-03-29,FR 3534_2023-04-03,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-03,16:55:00,2023-04-03,19:20:00,FR,Ryanair,02:25,239.39,239.39,False,False,0.0,ADT,5
