scrapeDate,departAirport,arrivalAirport,marketingAirline,departureDate,arrivalDate,flightNumber,totalPrice,baseFare,taxSurcharge
2023-03-23,BRU,HER,HV,2023-04-01T06:35:00,2023-04-01T11:00:00,9209,329.0,291.86,37.14
2023-03-23,BRU,ALC,HV,2023-04-01T16:35:00,2023-04-01T19:05:00,9003,199.0,161.86,37.14
2023-03-23,BRU,IBZ,HV,2023-04-01T12:30:00,2023-04-01T14:50:00,9009,268.0,230.86,37.14
2023-03-23,BRU,FAO,HV,2023-04-02T07:10:00,2023-04-02T09:05:00,9007,215.0,177.86,37.14
2023-03-23,BRU,ALC,HV,2023-04-02T17:25:00,2023-04-02T19:55:00,9003,182.0,144.86,37.14
2023-03-23,BRU,FAO,HV,2023-04-03T15:40:00,2023-04-03T17:35:00,9007,197.0,159.86,37.14
2023-03-23,BRU,IBZ,HV,2023-04-03T06:30:00,2023-04-03T08:55:00,9009,268.0,230.86,37.14
2023-03-23,BRU,HER,HV,2023-04-04T07:10:00,2023-04-04T11:35:00,9211,225.0,187.86,37.14
2023-03-23,BRU,ALC,HV,2023-04-04T17:25:00,2023-04-04T19:55:00,9003,152.0,114.86,37.14
2023-03-23,BRU,ALC,HV,2023-04-05T16:05:00,2023-04-05T18:35:00,9003,138.0,100.86,37.14
2023-03-23,BRU,IBZ,HV,2023-04-05T06:30:00,2023-04-05T08:55:00,9009,88.0,50.86,37.14
2023-03-23,BRU,FAO,HV,2023-04-06T16:45:00,2023-04-06T18:40:00,9007,135.0,97.86,37.14
2023-03-23,BRU,ALC,HV,2023-04-06T06:50:00,2023-04-06T09:15:00,9003,101.0,63.86,37.14
2023-03-23,BRU,FAO,HV,2023-04-07T07:15:00,2023-04-07T09:10:00,9007,180.0,142.86,37.14
2023-03-23,BRU,ALC,HV,2023-04-07T16:45:00,2023-04-07T19:10:00,9121,125.0,87.86,37.14
2023-03-23,BRU,IBZ,HV,2023-04-07T17:20:00,2023-04-07T19:45:00,9009,66.0,28.86,37.14
2023-03-23,BRU,HER,HV,2023-04-08T06:35:00,2023-04-08T11:00:00,9209,175.0,137.86,37.14
2023-03-23,BRU,ALC,HV,2023-04-08T16:35:00,2023-04-08T19:05:00,9003,167.0,129.86,37.14
2023-03-23,BRU,IBZ,HV,2023-04-08T12:30:00,2023-04-08T14:50:00,9009,129.0,91.86,37.14
