scrapeDate,flightKey,departAirport,arrivalAirport,marketingAirline,carrierName,departureDate,departureTime,arrivalDate,arrivalTime,flightNumber,totalPrice,baseFare,taxSurcharge
2023-03-29,HV 9209_2023-04-01,BRU,HER,HV,Transavia,2023-04-01,06:35:00,2023-04-01,11:00:00,HV 9209,329.0,291.86,37.14
2023-03-29,HV 9003_2023-04-01,BRU,ALC,HV,Transavia,2023-04-01,16:35:00,2023-04-01,19:05:00,HV 9003,217.0,179.86,37.14
2023-03-29,HV 9009_2023-04-01,BRU,IBZ,HV,Transavia,2023-04-01,12:30:00,2023-04-01,14:50:00,HV 9009,292.0,254.86,37.14
2023-03-29,HV 9007_2023-04-02,BRU,FAO,HV,Transavia,2023-04-02,07:10:00,2023-04-02,09:05:00,HV 9007,299.0,261.86,37.14
2023-03-29,HV 9003_2023-04-02,BRU,ALC,HV,Transavia,2023-04-02,17:25:00,2023-04-02,19:55:00,HV 9003,199.0,161.86,37.14
2023-03-29,HV 9007_2023-04-03,BRU,FAO,HV,Transavia,2023-04-03,15:40:00,2023-04-03,17:35:00,HV 9007,233.0,195.86,37.14
2023-03-29,HV 9009_2023-04-03,BRU,IBZ,HV,Transavia,2023-04-03,06:30:00,2023-04-03,08:55:00,HV 9009,268.0,230.86,37.14
2023-03-29,HV 9211_2023-04-04,BRU,HER,HV,Transavia,2023-04-04,07:10:00,2023-04-04,11:35:00,HV 9211,225.0,187.86,37.14
2023-03-29,HV 9003_2023-04-04,BRU,ALC,HV,Transavia,2023-04-04,17:25:00,2023-04-04,19:55:00,HV 9003,167.0,129.86,37.14
2023-03-29,HV 9003_2023-04-05,BRU,ALC,HV,Transavia,2023-04-05,16:05:00,2023-04-05,18:35:00,HV 9003,138.0,100.86,37.14
2023-03-29,HV 9009_2023-04-05,BRU,IBZ,HV,Transavia,2023-04-05,06:30:00,2023-04-05,08:55:00,HV 9009,129.0,91.86,37.14
2023-03-29,HV 9007_2023-04-06,BRU,FAO,HV,Transavia,2023-04-06,16:45:00,2023-04-06,18:40:00,HV 9007,165.0,127.86,37.14
2023-03-29,HV 9003_2023-04-06,BRU,ALC,HV,Transavia,2023-04-06,06:50:00,2023-04-06,09:15:00,HV 9003,101.0,63.86,37.14
2023-03-29,HV 9007_2023-04-07,BRU,FAO,HV,Transavia,2023-04-07,07:15:00,2023-04-07,09:10:00,HV 9007,180.0,142.86,37.14
2023-03-29,HV 9121_2023-04-07,BRU,ALC,HV,Transavia,2023-04-07,16:45:00,2023-04-07,19:10:00,HV 9121,138.0,100.86,37.14
2023-03-29,HV 9009_2023-04-07,BRU,IBZ,HV,Transavia,2023-04-07,17:20:00,2023-04-07,19:45:00,HV 9009,88.0,50.86,37.14
2023-03-29,HV 9209_2023-04-08,BRU,HER,HV,Transavia,2023-04-08,06:35:00,2023-04-08,11:00:00,HV 9209,175.0,137.86,37.14
2023-03-29,HV 9003_2023-04-08,BRU,ALC,HV,Transavia,2023-04-08,16:35:00,2023-04-08,19:05:00,HV 9003,152.0,114.86,37.14
2023-03-29,HV 9009_2023-04-08,BRU,IBZ,HV,Transavia,2023-04-08,12:30:00,2023-04-08,14:50:00,HV 9009,129.0,91.86,37.14
2023-03-29,HV 9007_2023-04-09,BRU,FAO,HV,Transavia,2023-04-09,07:10:00,2023-04-09,09:05:00,HV 9007,135.0,97.86,37.14
2023-03-29,HV 9003_2023-04-09,BRU,ALC,HV,Transavia,2023-04-09,17:25:00,2023-04-09,19:55:00,HV 9003,138.0,100.86,37.14
2023-03-29,HV 9007_2023-04-10,BRU,FAO,HV,Transavia,2023-04-10,15:40:00,2023-04-10,17:35:00,HV 9007,97.0,59.86,37.14
2023-03-29,HV 9009_2023-04-10,BRU,IBZ,HV,Transavia,2023-04-10,06:30:00,2023-04-10,08:55:00,HV 9009,114.0,76.86,37.14
2023-03-29,HV 9211_2023-04-11,BRU,HER,HV,Transavia,2023-04-11,07:10:00,2023-04-11,11:35:00,HV 9211,117.0,79.86,37.14
2023-03-29,HV 9003_2023-04-11,BRU,ALC,HV,Transavia,2023-04-11,17:25:00,2023-04-11,19:55:00,HV 9003,112.0,74.86,37.14
2023-03-29,HV 9003_2023-04-12,BRU,ALC,HV,Transavia,2023-04-12,16:05:00,2023-04-12,18:35:00,HV 9003,112.0,74.86,37.14
2023-03-29,HV 9009_2023-04-12,BRU,IBZ,HV,Transavia,2023-04-12,06:30:00,2023-04-12,08:55:00,HV 9009,66.0,28.86,37.14
