flightNumber,productId,departureAirportCode,departureAirportName,departureCountryCode,departureDate,departureTime,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,arrivalDate,arrivalTime,adultPrice,originalAdultPrice,journeyType,journeyDuration,totalNumberOfStops,carrierCode,carrierName,availableSeats,isCheapest,airportTax,originalAirportTax,bookingFee,originalBookingFee,isOriginalBooking
1941,eJyMkl+L4jAUxb+KXF9vZm7SRKd5a/xTFotdqsVZRKR/4tIdV4dWFwYxn33JKuz4Nq/n/Dj39DQXKEDDfDHDSZ7h0iBHQsLvOabzySr6gVGS4Klt3rttV+xth6uJQTVQgFCCXq/BZDlOoxQFiYCRZCSWPNCB0kQPmtKKvOZPhJLjlCNiMl7FiLDZIFSg1xcoj8e35vBztC+6DjRMOSAcurenygvpbmHbP01lQUMyvju7orWm6JpudKxvxir+ZC3sfj+zH6CBXDJ2PfcaOI84oTg5R44793rnfx3P7cF+3HDfnSSJ3tL4vj2T5dMofST/hy+N85TrOWey3JF8JvHsI3r/xnDTKH0Q/RrO3dPasv78re15b+fn36VtfQ3FCa4bBI+QHgYBcVEHLKz5C5OlDVmo7IBVu2KorCVbihf9XrSn5tQcD6ysVFEOCsGkDQST9S5kYSAtK2wlhbVqKGsCBAv6AiaK4yie+NeQbk0Ub7/NR3BF2IGGbLLIk2X/K9f7t58eMAo1hVoqLeST4qI/X8z6JsuZX/H6NwAA//9FU64w,BRU,Brussel,BEL,2023-04-02,13:35,FAO,Faro,PRT,2023-04-02,15:50,219.99,219.99,Direct,03:15,,TB,TUI fly,10,False,0.0,0.0,,,False
1171,eJyMklGPmkAUhf+Kub7e2b0DM4rzBkRJI5FmwbiNMYaBoaFrZQPaZGOc397MatL1ra/nfDn3cJgLlKBglS9xvn7BIkKOhITf15it5pvwB4Zpiqe+fR/2Q3kwA27mEcqJBAQNaruFLC8wTGP0yPMZCUa8oIkiUkQPWqDkp+ZO8CnHBUfEdLFJEGG3Q6hAbS+gu+6tPf6MD+UwgIIFB4Tj8PZUOSFrctP/aSsDCtLF3WnK3kTl0A5xV9+MTfLFys3hsDQfoIBsurAj++pbh1hPcrKWLLf29c7/6s790XzccNedBPFREbm+oywvwjR+JP+FF5F1lB1Zm+WFJfFM/NlFjD7HsGEaP4huDWvvab2uv35rfz6Y1fm3Nr2rITnBdYfgEKHIeKJqRM2m3PeY4FyyUgczppuAezSRTc1JvZf9qT213ZE1gmTl8ynTsg6YmNUzpqdTYoE0ZaWrSc11DQgG1AWiMEnCZO5eQ7aPwmT/bRXDFaEBBS/zfJ0W4/+5Pr79dJ/RTNFMCal8/iREMF7ly3GWF8yteP0bAAD//9S1rSk=,OST,Brugge-Oostende,BEL,2023-04-01,06:00,ALC,Alicante,ESP,2023-04-01,08:50,229.99,229.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
1135,eJyMkkGP2jAQhf8KGq7j3XESA/EtDmxUEaAKRGyFEIoTp0qXwiqBSiuEf3vlgtTlttc3n948v/EFCpAwX05xkme4UsiRkPB7jov5ZB39wChN8dQ2792uK/amw/VEoRgIQNAgNxtQWY5RGqNHns8oYMRXNJBEkuhBG8lAOM2t4L7AF46Is/E6QYTtFqEEubmAPh7fmsPPeF90HUh44YBw6N6eSics6qVp/zSlAQmz8X1SF61RRdd08bG6DdbJp9HS7PdT8wESyM7GtmdffesQ6wlO1pLl1r7e+V/Hc3swHzfcZaeAeG+lXN6eyvIojR/J/+YrZR1le9aqLLcUPBN/dha9f2XYKI0fRNeGtXe3Vlef39qe92Z+/q1N62IITnDdIjgklGS8oKyDig2577GAc8EKPQqZrkfco4GoK07yvWhPzak5HlgdkCh9PmRaVCMWhFXI9HBIbCRMUepyUHFdAYIBeQEVJUmUTNxvWOxUlOy+zWO4ItQgIZss83TV/8r2/u3oPqNQUuiO7vOnQPTny2lfZTlzJV7/BgAA///y86zG,BRU,Brussel,BEL,2023-04-01,06:00,ALC,Alicante,ESP,2023-04-01,08:45,249.99,249.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1101,eJyMklGPmkAUhf+Kub7e2b0DjMq8DcQljYgNatzGGMPA0NC1sgFtsjHOb29mNen61tdzvpx7OMwFCpCQLWc4Xee4ipAjIeH3NS6y6Ub9QJWmeOqa937fFwfT42YaoRgJQNAgt1tQWY4qjdEjz2cUMOIrGkmfJNGDFkr+qbkTnDi+cEScR5sEEXY7hBLk9gK6bd+a48/4UPQ9SHjhgHDs355KJyzqpen+NKUBCfPo7tRFZ6Kib/q4rW7GJvliLc3hMDMfIIHsPLID++pbh1hPcLKWLLf29c7/as/d0XzccNedAuKDVeT6DlSWqzR+JP+FryLrKDuwVmW5peCZ+LOLGHyOYVUaP4huDWvvaZ2uvn5rdz6Y7Pxbm87VEJzgukNwyESS8YKyDio25r7HAs4FK/QkZLqecI9Goq44yfeiOzWnpj2yOiBR+nzMtKgmLAirkOnxmNhEmKLU5ajiugIEA/ICkUoSlUzda1jsI5Xsv2UxXBFqkJBPl+t0Nfyf68PbT/cZhZJCGQjp86dAeMNsORuqLGduxevfAAAA//89Aayw,ANR,Antwerpen,BEL,2023-04-01,06:30,ALC,Alicante,ESP,2023-04-01,09:10,239.99,239.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1113,eJyMklGL4jAUhf+KXF9vZm7axmremuKUpUWXanEWEWnadOmOa4dWFwYxv33JKOz4tq/nfpx7cm4uUIKExSrFeZHjWiFHQsLvBS4X8030A6Msw1Pfvg/7oTyYATdzhWIiAEGD3G5B5QVGWYweeT6jgBFf81ASSaIHbSYD4TS3gnMfXzgipmqTIMJuh1CB3F5Ad91be/wZH8phAAkvHBCOw9tT5YRlszL9n7YyICFV90lT9kaVQzvEXX0bbJIvo5U5HFLzARLIpsqO7KtvHWI9wclastza1zv/qzv3R/Nxw112CoiP1srlHam8iLL4kfxnvlbWUXZkrcoLS8Ez8WdnMfosw0ZZ/CC6Nqy9u/W6/vrW/nwwi/NvbXoXQ3CC6w7BIaEk4wVVE9Qs5L7HAs4FK/V0xnQz5R5NRFNzku9lf2pPbXdkTUCi8nnItKinLJjVM6bDkNhUmLLS1aTmugYEA/ICKkqSKJm737DcqyjZf1vEcEVoQEI+XxXZevw/28e3o/uMZpI+j+7zp0CMF6t0rPKCuRKvfwMAAP//ynOsrA==,BRU,Brussel,BEL,2023-04-01,17:00,ALC,Alicante,ESP,2023-04-01,19:45,179.99,179.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
1183,eJyMklFvokAUhf+Kub7eae/AjOK8AbFkU5RNwdiNMYaBYcPWlQZ0k8Y4v30z1WTr276e8+Xcw2HOUIKCZf6M89ULFhFyJCT8vsJsOV+HPzBMUzz27fuwG8q9GXA9j1BOJCBoUJsNZHmBYRqjR57PSDDyCpooIkV0pwVKfmruBA98fOKIuIjXCSJstwgVqM0ZdNe9tYef8b4cBlDwxAHhMLw9VE7Imtz0f9rKgIJFfHOasjdRObRD3NVXY518sXKz3z+bD1BAdhHbkX31rUOsJzlZS5Zb+3rjf3Wn/mA+rrjrToK8URG5vqMsL8I0vif/hReRdZQdWZvlhSXxSN6jixh9jmHDNL4T3RrW3tJ6XX/91v60N8vTb216V0NygssWwSFSkfFE1YiaTbnvMcG5ZKUOZkw3AfdoIpuak3ov+2N7bLsDawTJyudTpmUdMDGrZ0xPp8QCacpKV5Oa6xoQDKgzRGGShMncvYZsF4XJ7tsyhgtCAwpe5vkqLcb/c318/ek+o5mimRJS+fxBiGC8zJ/HWV4wt+LlbwAAAP//2dmtLg==,OST,Brugge-Oostende,BEL,2023-04-02,06:00,ALC,Alicante,ESP,2023-04-02,08:50,244.99,244.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
1111,eJyMkl+L4jAUxb+KXF9vZm7axD95a4pTlhZdqsVZRKRp06U7rg6tLgxiPvuSVdjxbV7P+XHu6WkuUIKC+TLFWZHjSiNHQsLvBS7ms3X0A6Msw1PXvve7vtzbHtczjXIkAcGA2mxA5wVGWYwBBSEjwShY0UhxUkQP2kRJ6TV/gnOOLxwRU71OEGG7RahAbS5gjse39vAz3pd9DwpeOCAc+renyguLZmm7P21lQUGq705TdlaXfdvHx/pmrJNP1tLu96n9AAXkUu0G7jV0HnGB5OQcOe7c653/dTx3B/txw313EhQMVtr3Hei8iLL4kfwfvtLOU27gnM4LR+KZgmcfMfg3houy+EH0azh3T+tM/flbu/Pezs+/je18DckJrlsEj4wU2UBUjajZmIcBE5xLVprJlJlmwgMayabmpN7L7tSe2uOBNYJkFfIxM7KeMDGtp8yMx8Qm0paVqUY1NzUgWFAX0FGSRMnMv4bFTkfJ7ts8hitCAwry2bLIVsOvXB/efnrIaKpoqoRUIX8ScjhfpkOdF8yPeP0bAAD//8IcrKY=,BRU,Brussel,BEL,2023-04-02,06:10,ALC,Alicante,ESP,2023-04-02,08:55,179.99,179.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1101,eJyMkl+L4jAUxb+KXF9vZm7axD95S6tTFktdquIsItK06dIdV4dWFwYxn33JKKz7Nq/n/Dj39DQXKEBBtpjhdJXjMkKOhITfVzjPpmv9A3Wa4qlt3rtdV+xth+tphHIgAcGA2mxAZznqNMaAgpCRYBQsaaRCUkSPGueKS6/5E5w4vnBETCfrBBG2W4QS1OYC5nh8aw4/433RdaDghQPCoXt7Kr0wrxe2/dOUFhSkk7tTF62Niq7p4mN1M9bJg7Ww+/3MfoACcunE9dxr6DziAsnJOXLcudc7/+t4bg/244b77iQo6C0j37ens1yn8f/kv/Bl5Dzles7pLHcknil49hG9zzGcTuNH8XMN5+5prakev7U97212/m1s62tITnDdInhkqMgGoqxFxYY8DJjgXLLCjMbM1CMe0EDWFSf1XrSn5tQcD6wWJMuQD5mR1YiJcTVmZjgkNpK2KE05qLipAMGCukCkk0QnU/8a5rtIJ7tvWQxXhBoU5NPFKl32v3K9f/vpIaOxorESUoX8Scigny1mfZ3lzK94/RsAAP//TIGsuQ==,ANR,Antwerpen,BEL,2023-04-02,08:30,ALC,Alicante,ESP,2023-04-02,11:15,219.99,219.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1103,eJyMkl+L4jAUxb+KXF9vZm7axD95S4tTlpa6VMVZRKRp06U7rg6tLgxiPvuSUdjxbV/P/XHuybm5QAkK8kWKs1WBywg5EhJ+X+E8n631D9RZhqeufe93fbm3Pa5nEcqRBAQDarMBnReosxgDCkJGglGw5EKRVEQP2kiJT82v4BTiC0fENFoniLDdIlSgNhcwx+Nbe/gZ78u+BwUvHBAO/dtT5YV5s7Ddn7ayoCCN7pOm7GxU9m0fH+vbYJ18GS3sfp/aD1BALo3cwL2GziMukJycI8ede73zv47n7mA/brjPToKCwTLyeQc6L3QWP5L/zJeR85QbOKfzwpF4puDZWww+y3A6ix9E34Zzd7fO1F/f2p33Nj//NrbzMSQnuG4RPCIV2UBUjajZmIcBE5xLVprJlJlmwgMayabmpN7L7tSe2uOBNYJkFfIxM7KeMDGtp8yMx8Qm0paVqUY1NzUgWFAXiHSS6GTmf8N8F+lk9y2P4YrQgIJitlhly+H/bB/ejh4ymiqa+qOH/EnIYJgv0qHOC+ZbvP4NAAD//0/ErLw=,ANR,Antwerpen,BEL,2023-04-02,14:05,ALC,Alicante,ESP,2023-04-02,16:45,179.99,179.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1105,eJyMkl+L4jAUxb+KXF9vZm7Sxj95S4tTlpa6VMVZRKRp06U7rg6tLgxiPvuSUdjxbV/P+XHu6WkuUIKCfJHibFXgMkKOhITfVzjPZ2v9A3WW4alr3/tdX+5tj+tZhHIkAcGA2mxA5wXqLEZBImAUMhJLLpUgRfSgTRR9av4EJ4kvHBHTeJ0gwnaLUIHaXMAcj2/t4We8L/seFLxwQDj0b0+VF+bNwnZ/2sqCgjS+O03Z2ajs2z4+1jdjnXyxFna/T+0HKCCXxm7gXgPnESckJ+fIcede7/yv47k72I8b7rtTSGKwjHzfgc4LncWP5L/wZeQ85QbO6bxwFD6TePYRg88xnM7iB9Gv4dw9rTP112/tznubn38b2/kakhNctwgeGSmyIqyasGZjHggWci5ZaSZTZpoJFzSSTc1JvZfdqT21xwNrQpJVwMfMyHrCwmk9ZWY8JjaRtqxMNaq5qQHBgrpApJNEJzP/Gua7SCe7b3kMV4QGFBSzxSpbDv/n+vD20wNGU0VTFUoV8KdQimG+SIc6L5hf8fo3AAD//0ZdrLY=,ANR,Antwerpen,BEL,2023-04-02,15:20,ALC,Alicante,ESP,2023-04-02,18:00,184.99,184.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
