flightNumber,scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,departureDate,departureTime,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,arrivalDate,arrivalTime,adultPrice,originalAdultPrice,journeyType,journeyDuration,totalNumberOfStops,carrierCode,carrierName,availableSeats,isCheapest,airportTax,originalAirportTax,bookingFee,originalBookingFee,isOriginalBooking
1941,2023-03-16,BRU,Brussel,BEL,2023-04-02,13:35,FAO,Faro,PRT,2023-04-02,15:50,219.99,219.99,Direct,03:15,,TB,TUI fly,10,False,0.0,0.0,,,False
1171,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-01,06:00,ALC,Alicante,ESP,2023-04-01,08:50,159.99,159.99,Direct,02:50,,TB,TUI fly,10,True,0.0,0.0,,,False
1135,2023-03-16,BRU,Brussel,BEL,2023-04-01,06:00,ALC,Alicante,ESP,2023-04-01,08:45,244.99,244.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1101,2023-03-16,ANR,Antwerpen,BEL,2023-04-01,06:30,ALC,Alicante,ESP,2023-04-01,09:10,189.99,189.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1113,2023-03-16,BRU,Brussel,BEL,2023-04-01,17:00,ALC,Alicante,ESP,2023-04-01,19:45,209.99,209.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1183,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-02,06:00,ALC,Alicante,ESP,2023-04-02,08:50,229.99,229.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
1111,2023-03-16,BRU,Brussel,BEL,2023-04-02,06:10,ALC,Alicante,ESP,2023-04-02,08:55,179.99,179.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1101,2023-03-16,ANR,Antwerpen,BEL,2023-04-02,08:30,ALC,Alicante,ESP,2023-04-02,11:15,199.99,199.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1103,2023-03-16,ANR,Antwerpen,BEL,2023-04-02,14:05,ALC,Alicante,ESP,2023-04-02,16:45,159.99,159.99,Direct,02:40,,TB,TUI fly,10,True,0.0,0.0,,,False
1105,2023-03-16,ANR,Antwerpen,BEL,2023-04-02,15:20,ALC,Alicante,ESP,2023-04-02,18:00,209.99,209.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1113,2023-03-16,BRU,Brussel,BEL,2023-04-02,16:45,ALC,Alicante,ESP,2023-04-02,19:30,174.99,174.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1161,2023-03-16,LGG,Luik,BEL,2023-04-03,06:00,ALC,Alicante,ESP,2023-04-03,08:45,109.99,109.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
1111,2023-03-16,BRU,Brussel,BEL,2023-04-03,06:05,ALC,Alicante,ESP,2023-04-03,08:50,159.99,159.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1101,2023-03-16,ANR,Antwerpen,BEL,2023-04-03,08:00,ALC,Alicante,ESP,2023-04-03,10:40,209.99,209.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1171,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-03,14:30,ALC,Alicante,ESP,2023-04-03,17:20,204.99,204.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
1171,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-04,06:00,ALC,Alicante,ESP,2023-04-04,08:50,129.99,129.99,Direct,02:50,,TB,TUI fly,10,True,0.0,0.0,,,False
