flightKey,flightNumber,scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,departureDate,departureTime,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,arrivalDate,arrivalTime,adultPrice,originalAdultPrice,journeyType,journeyDuration,totalNumberOfStops,carrierCode,carrierName,availableSeats,isCheapest,airportTax,originalAirportTax,bookingFee,originalBookingFee,isOriginalBooking
TB 1101_2023-04-01,TB 1101,2023-03-30,ANR,Antwerpen,BEL,2023-04-01,06:30,ALC,Alicante,ESP,2023-04-01,09:10,299.99,299.99,Direct,02:40,,TB,TUI fly,1,False,0.0,0.0,,,False
TB 1113_2023-04-01,TB 1113,2023-03-30,BRU,Brussel,BEL,2023-04-01,17:00,ALC,Alicante,ESP,2023-04-01,19:45,289.99,289.99,Direct,02:45,,TB,TUI fly,2,True,0.0,0.0,,,False
TB 1111_2023-04-02,TB 1111,2023-03-30,BRU,Brussel,BEL,2023-04-02,06:10,ALC,Alicante,ESP,2023-04-02,08:55,299.99,299.99,Direct,02:45,,TB,TUI fly,4,False,0.0,0.0,,,False
TB 1101_2023-04-02,TB 1101,2023-03-30,ANR,Antwerpen,BEL,2023-04-02,08:30,ALC,Alicante,ESP,2023-04-02,11:15,299.99,299.99,Direct,02:45,,TB,TUI fly,1,False,0.0,0.0,,,False
TB 1103_2023-04-02,TB 1103,2023-03-30,ANR,Antwerpen,BEL,2023-04-02,14:05,ALC,Alicante,ESP,2023-04-02,16:45,299.99,299.99,Direct,02:40,,TB,TUI fly,3,False,0.0,0.0,,,False
TB 1105_2023-04-02,TB 1105,2023-03-30,ANR,Antwerpen,BEL,2023-04-02,15:20,ALC,Alicante,ESP,2023-04-02,18:00,294.99,294.99,Direct,02:40,,TB,TUI fly,3,True,0.0,0.0,,,False
TB 1113_2023-04-02,TB 1113,2023-03-30,BRU,Brussel,BEL,2023-04-02,16:45,ALC,Alicante,ESP,2023-04-02,19:30,299.99,299.99,Direct,02:45,,TB,TUI fly,6,False,0.0,0.0,,,False
TB 1161_2023-04-03,TB 1161,2023-03-30,LGG,Luik,BEL,2023-04-03,06:00,ALC,Alicante,ESP,2023-04-03,08:45,249.99,249.99,Direct,02:45,,TB,TUI fly,5,False,0.0,0.0,,,False
TB 1111_2023-04-03,TB 1111,2023-03-30,BRU,Brussel,BEL,2023-04-03,06:05,ALC,Alicante,ESP,2023-04-03,08:50,279.99,279.99,Direct,02:45,,TB,TUI fly,2,False,0.0,0.0,,,False
TB 1171_2023-04-03,TB 1171,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-03,14:30,ALC,Alicante,ESP,2023-04-03,17:20,199.99,199.99,Direct,02:50,,TB,TUI fly,7,True,0.0,0.0,,,False
TB 1171_2023-04-04,TB 1171,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-04,06:00,ALC,Alicante,ESP,2023-04-04,08:50,179.99,179.99,Direct,02:50,,TB,TUI fly,8,False,0.0,0.0,,,False
TB 1135_2023-04-04,TB 1135,2023-03-30,BRU,Brussel,BEL,2023-04-04,06:15,ALC,Alicante,ESP,2023-04-04,09:00,254.99,254.99,Direct,02:45,,TB,TUI fly,5,False,0.0,0.0,,,False
TB 1101_2023-04-04,TB 1101,2023-03-30,ANR,Antwerpen,BEL,2023-04-04,07:30,ALC,Alicante,ESP,2023-04-04,10:10,174.99,174.99,Direct,02:40,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1103_2023-04-04,TB 1103,2023-03-30,ANR,Antwerpen,BEL,2023-04-04,08:35,ALC,Alicante,ESP,2023-04-04,11:15,199.99,199.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1013_2023-04-01,TB 1013,2023-03-30,BRU,Brussel,BEL,2023-04-01,14:25,AGP,Malaga,ESP,2023-04-01,17:30,319.99,319.99,Direct,03:05,,TB,TUI fly,4,False,0.0,0.0,,,False
TB 1011_2023-04-02,TB 1011,2023-03-30,BRU,Brussel,BEL,2023-04-02,13:50,AGP,Malaga,ESP,2023-04-02,16:55,309.99,309.99,Direct,03:05,,TB,TUI fly,3,True,0.0,0.0,,,False
TB 1013_2023-04-02,TB 1013,2023-03-30,BRU,Brussel,BEL,2023-04-02,15:25,AGP,Malaga,ESP,2023-04-02,18:30,309.99,309.99,Direct,03:05,,TB,TUI fly,4,False,0.0,0.0,,,False
TB 1161_2023-04-03,TB 1161,2023-03-30,LGG,Luik,BEL,2023-04-03,06:00,AGP,Alicante,ESP,2023-04-03,08:45,229.99,229.99,Stop Over,04:50,,TB,TUI fly,5,False,0.0,0.0,,,False
TB 1013_2023-04-03,TB 1013,2023-03-30,BRU,Brussel,BEL,2023-04-03,06:20,AGP,Malaga,ESP,2023-04-03,09:25,309.99,309.99,Direct,03:05,,TB,TUI fly,5,False,0.0,0.0,,,False
